Date,Stock_Ticker,Market_Cap,HA_Close,EMA_89
2022-11-01,WIPRO,Large Cap,190.11,164.61
2022-11-01,KOTAKBANK,Large Cap,1925.14,1401.13
2022-11-01,POWERGRID,Large Cap,146.76,92.34
2022-11-01,NESTLEIND,Large Cap,972.59,641.4
2022-11-01,RELIANCE,Large Cap,1207.3,733.02
2022-11-01,HDFCBANK,Large Cap,744.63,524.67
2022-11-01,INFY,Large Cap,1481.18,921.68
2022-11-01,CIPLA,Mid Cap,1114.35,702.28
2022-11-01,ADANIPORTS,Mid Cap,848.51,485.71
2022-11-01,HINDUNILVR,Large Cap,2468.68,1716.14
2022-11-01,TCS,Large Cap,3158.41,2224.57
2022-11-01,GRASIM,Mid Cap,1710.58,1054.24
2022-10-01,SBIN,Large Cap,521.62,314.71
2022-10-01,MARUTI,Large Cap,8926.59,6324.83
2022-10-01,INFY,Large Cap,1362.23,908.44
2022-10-01,NESTLEIND,Large Cap,943.83,633.56
2022-10-01,ASIANPAINT,Large Cap,3118.18,1913.27
2022-10-01,TATAMOTORS,Mid Cap,400.79,315.78
2022-10-01,KOTAKBANK,Large Cap,1846.38,1388.74
2022-10-01,AXISBANK,Large Cap,817.33,605.31
2022-10-01,RELIANCE,Large Cap,1123.57,721.8
2022-10-01,TITAN,Large Cap,2657.89,1322.31
2022-10-01,CIPLA,Mid Cap,1112.45,692.53
2022-10-01,SUNPHARMA,Large Cap,954.85,615.94
2022-10-01,ADANIPORTS,Mid Cap,800.03,477.13
2022-10-01,HINDUNILVR,Large Cap,2496.33,1698.33
2022-10-01,GRASIM,Mid Cap,1661.96,1038.71
2022-10-01,NTPC,Large Cap,152.18,100.38
2022-10-01,ITC,Large Cap,308.17,194.94
2022-10-01,JSWSTEEL,Mid Cap,641.24,364.52
2022-10-01,BHARTIARTL,Large Cap,792.49,476.05
2022-10-01,TCS,Large Cap,2949.96,2202.48
2022-10-01,ULTRACEMCO,Large Cap,6340.15,4753.12
2022-10-01,WIPRO,Large Cap,187.94,164.01
2022-10-01,LT,Large Cap,1881.09,1256.16
2022-10-01,POWERGRID,Large Cap,142.61,91.05
2022-10-01,HDFCBANK,Large Cap,690.38,519.47
2022-09-01,JSWSTEEL,Mid Cap,641.17,357.96
2022-09-01,INFY,Large Cap,1338.95,897.7
2022-09-01,BHARTIARTL,Large Cap,741.58,468.56
2022-09-01,ULTRACEMCO,Large Cap,6371.63,4715.54
2022-09-01,KOTAKBANK,Large Cap,1854.07,1377.9
2022-09-01,AXISBANK,Large Cap,745.67,600.29
2022-09-01,MARUTI,Large Cap,8686.46,6263.23
2022-09-01,RELIANCE,Large Cap,1129.95,712.29
2022-09-01,ITC,Large Cap,298.91,192.26
2022-09-01,CIPLA,Mid Cap,1043.66,682.59
2022-09-01,TCS,Large Cap,2956.95,2184.78
2022-09-01,SUNPHARMA,Large Cap,887.24,607.91
2022-09-01,HINDUNILVR,Large Cap,2517.21,1679.44
2022-09-01,SBIN,Large Cap,507.76,309.81
2022-09-01,ADANIPORTS,Mid Cap,849.27,469.48
2022-09-01,GRASIM,Mid Cap,1670.39,1023.95
2022-09-01,POWERGRID,Large Cap,140.44,89.83
2022-09-01,TITAN,Large Cap,2593.47,1290.69
2022-09-01,LT,Large Cap,1837.58,1241.36
2022-09-01,HDFCBANK,Large Cap,690.79,515.42
2022-09-01,TATAMOTORS,Mid Cap,426.62,313.77
2022-09-01,NTPC,Large Cap,148.91,99.15
2022-09-01,ASIANPAINT,Large Cap,3267.24,1884.74
2022-09-01,WIPRO,Large Cap,193.2,163.44
2022-09-01,NESTLEIND,Large Cap,922.56,626.21
2022-08-01,POWERGRID,Large Cap,143.66,88.63
2022-08-01,ADANIPORTS,Mid Cap,804.44,460.48
2022-08-01,AXISBANK,Large Cap,739.47,596.85
2022-08-01,TITAN,Large Cap,2459.4,1259.81
2022-08-01,RELIANCE,Large Cap,1176.39,702.39
2022-08-01,BHARTIARTL,Large Cap,692.9,462.09
2022-08-01,ULTRACEMCO,Large Cap,6469.39,4676.28
2022-08-01,ASIANPAINT,Large Cap,3277.51,1851.97
2022-08-01,HDFCBANK,Large Cap,697.93,511.27
2022-08-01,LT,Large Cap,1813.81,1227.23
2022-08-01,CIPLA,Mid Cap,987.58,674.03
2022-08-01,SUNPHARMA,Large Cap,880.46,601.29
2022-08-01,TCS,Large Cap,3113.84,2166.47
2022-08-01,WIPRO,Large Cap,201.45,162.73
2022-08-01,KOTAKBANK,Large Cap,1864.19,1366.62
2022-08-01,NTPC,Large Cap,141.86,97.97
2022-08-01,NESTLEIND,Large Cap,939.36,619.19
2022-08-01,GRASIM,Mid Cap,1590.26,1008.63
2022-08-01,JSWSTEEL,Mid Cap,643.67,351.25
2022-08-01,HINDUNILVR,Large Cap,2512.18,1659.58
2022-08-01,ITC,Large Cap,283.42,189.73
2022-08-01,TATAMOTORS,Mid Cap,459.43,311.09
2022-08-01,MARUTI,Large Cap,8606.93,6205.79
2022-08-01,INFY,Large Cap,1421.58,887.24
2022-08-01,SBIN,Large Cap,500.06,305.12
2022-07-01,ASIANPAINT,Large Cap,2929.24,1818.15
2022-07-01,MARUTI,Large Cap,8310.1,6148.82
2022-07-01,TCS,Large Cap,3058.05,2144.0
2022-07-01,GRASIM,Mid Cap,1417.83,994.83
2022-07-01,CIPLA,Mid Cap,919.33,666.59
2022-07-01,HINDUNILVR,Large Cap,2312.07,1639.35
